PK,event_timestamp,INDE,IDADE,IAA,IEG,IPS,IPP,IDA,IPV,DEFASAGEM
RA-3192024,2026-03-06 11:33:59.499006+00:00,7.948699561,15,9.6,9.0,7.5,7.3,5.8,7.7,0.0
RA-1602024,2026-03-06 11:33:59.499006+00:00,6.855108333,17,8.3,7.4,6.3,7.3,5.7,7.7,1.0
RA-1612024,2026-03-06 11:33:59.499006+00:00,7.258445588,15,8.8,8.0,6.3,8.0,4.0,7.8,0.0
RA-16142024,2026-03-06 11:33:59.499006+00:00,6.78789899,16,7.5,6.6,7.5,7.5,6.5,7.1,1.0
RA-1642024,2026-03-06 11:33:59.499006+00:00,6.837125731,17,9.6,8.1,6.3,6.3,5.7,6.9,1.0
RA-1652024,2026-03-06 11:33:59.499006+00:00,8.462750244,16,7.5,9.4,7.5,8.0,8.5,7.9,0.0
RA-16152024,2026-03-06 11:33:59.499006+00:00,8.417533333,15,7.9,9.8,7.5,7.5,8.3,7.5,0.0
RA-16162024,2026-03-06 11:33:59.499006+00:00,7.147738235,17,8.3,8.4,7.5,7.2,6.2,7.1,1.0
RA-2712024,2026-03-06 11:33:59.499006+00:00,7.400633333,17,9.2,9.0,6.3,7.5,7.3,6.7,1.0
RA-3162024,2026-03-06 11:33:59.499006+00:00,8.708925,15,9.2,10.0,7.5,7.7,8.0,8.4,0.0
RA-2862024,2026-03-06 11:33:59.499006+00:00,5.123180882,16,6.7,4.0,6.3,7.3,3.2,5.8,1.0
RA-3202024,2026-03-06 11:33:59.499006+00:00,8.442258333,15,9.2,10.0,7.5,7.7,6.7,8.4,0.0
RA-12072024,2026-03-06 11:33:59.499006+00:00,6.509169737,16,8.3,6.6,7.5,7.3,5.3,6.5,1.0
RA-16172024,2026-03-06 11:33:59.499006+00:00,4.926285714,16,0.0,5.6,7.5,6.9,3.3,6.1,1.0
RA-1582024,2026-03-06 11:33:59.499006+00:00,6.855159259,15,8.3,7.8,6.3,6.9,4.0,6.7,0.0
RA-3062024,2026-03-06 11:33:59.499006+00:00,6.166153947,16,7.9,7.7,7.5,7.3,2.8,6.4,1.0
RA-16182024,2026-03-06 11:33:59.499006+00:00,7.048766013,17,8.3,7.9,7.5,7.5,6.3,6.8,1.0
RA-2512024,2026-03-06 11:33:59.499006+00:00,6.713500621,16,8.8,8.6,5.6,6.9,4.5,7.3,1.0
RA-16202024,2026-03-06 11:33:59.499006+00:00,6.652766667,16,8.8,6.7,7.5,7.5,5.2,7.1,1.0
RA-11952024,2026-03-06 11:33:59.499006+00:00,7.508514493,18,9.6,9.9,5.6,7.5,6.2,7.7,1.0
RA-12002024,2026-03-06 11:33:59.499006+00:00,5.641583896,16,7.9,7.1,6.3,7.5,1.5,6.3,1.0
RA-852024,2026-03-06 11:33:59.499006+00:00,6.999509386,17,8.3,8.7,3.8,6.3,7.7,7.0,1.0
RA-16212024,2026-03-06 11:33:59.499006+00:00,8.107033333,17,7.9,10.0,6.3,8.3,8.3,8.4,1.0
RA-12012024,2026-03-06 11:33:59.499006+00:00,8.376195238,16,8.8,9.5,7.5,8.3,9.0,8.6,1.0
RA-16222024,2026-03-06 11:33:59.499006+00:00,8.429066667,16,8.3,10.0,7.5,8.3,9.7,7.9,1.0
RA-1322024,2026-03-06 11:33:59.499006+00:00,8.474632143,16,8.3,8.4,7.5,8.6,8.3,8.4,0.0
RA-422024,2026-03-06 11:33:59.499006+00:00,7.65662877,17,9.2,9.7,5.6,6.8,8.2,7.1,1.0
RA-16232024,2026-03-06 11:33:59.499006+00:00,7.760953704,17,9.2,8.5,6.3,7.8,6.0,7.7,0.0
RA-1062024,2026-03-06 11:33:59.499006+00:00,7.721664286,16,9.2,8.8,5.6,7.8,5.7,7.9,0.0
RA-1232024,2026-03-06 11:33:59.499006+00:00,6.887248016,18,7.5,8.4,5.6,6.7,7.2,6.4,1.0
RA-1252024,2026-03-06 11:33:59.499006+00:00,6.627079762,17,8.3,5.6,7.5,7.3,6.2,7.2,1.0
RA-16242024,2026-03-06 11:33:59.499006+00:00,7.743213492,18,7.9,9.5,7.5,7.8,7.5,7.6,1.0
RA-16252024,2026-03-06 11:33:59.499006+00:00,6.888194089,17,7.5,7.1,7.5,7.2,4.3,6.9,0.0
RA-16262024,2026-03-06 11:33:59.499006+00:00,8.541085606,16,8.8,9.7,7.5,8.3,7.3,8.4,0.0
RA-16272024,2026-03-06 11:33:59.499006+00:00,7.481547222,17,7.1,7.8,7.5,7.7,7.8,8.2,1.0
